0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:26:41 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3260
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:28:45 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3341
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:28:45 +0530] "GET /Vidyo_Poc/vidyoo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:28:53 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3341
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:28:58 +0530] "GET /Vidyo_Poc/Add_Invitee?invitees=asd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:28:58 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3341
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:29:36 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3238
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:29:43 +0530] "GET /Vidyo_Poc/Add_Invitee?invitees=wa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:29:43 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3238
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:31:35 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3238
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:31:35 +0530] "GET /Vidyo_Poc/vidyoo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:32:08 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3242
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:32:33 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3242
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:32:36 +0530] "GET /Vidyo_Poc/Add_Invitee?invitees= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:32:36 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3242
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:33:44 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3274
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:34:50 +0530] "GET /Vidyo_Poc/Signin.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:34:50 +0530] "GET /Vidyo_Poc/1.png HTTP/1.1" 304 -
